time,frequency,confidence
7.300,415.002,0.939044
7.310,415.057,0.934445
7.320,414.743,0.925642
7.330,414.883,0.921002
7.340,415.102,0.920508
7.350,415.181,0.909444
7.360,415.265,0.882158
7.370,415.354,0.853594
7.380,416.625,0.864295
7.390,419.336,0.781089
7.400,422.351,0.798472
7.410,423.065,0.820742
7.420,422.029,0.885283
7.430,421.160,0.878317
7.440,420.022,0.818357
7.450,418.081,0.887533
7.460,417.414,0.907688
7.470,416.633,0.922792
7.480,416.135,0.914334
7.490,415.757,0.935039
7.500,415.241,0.940381
7.510,415.207,0.941590
7.520,414.923,0.929521
7.530,414.493,0.918558
7.540,414.530,0.918943
7.550,414.641,0.916438
7.560,414.816,0.920001
7.570,414.732,0.924118
7.580,414.936,0.924522
7.590,415.088,0.924271
7.600,414.459,0.907955
7.610,413.620,0.884037
7.620,413.999,0.796173
7.630,414.944,0.652044
7.640,414.038,0.661522
7.650,416.533,0.736312
7.660,417.565,0.782265
7.670,418.529,0.788769
7.680,418.422,0.880088
7.690,418.846,0.872185
7.700,418.403,0.890057
7.710,418.170,0.919555
7.720,417.560,0.935440
7.730,417.234,0.937301
7.740,416.828,0.940655
7.750,416.313,0.937502
7.760,415.917,0.921307
7.770,415.607,0.923630
7.780,415.984,0.922285
7.790,415.841,0.916179
7.800,415.800,0.911898
7.810,415.496,0.881297
7.820,415.862,0.888607
7.830,416.901,0.867144
7.840,417.186,0.851829
7.850,417.852,0.730106
7.860,418.289,0.703135
7.870,418.834,0.701111
7.880,417.989,0.730562
7.890,418.030,0.791052
7.900,417.343,0.814349
7.910,416.776,0.768292
7.920,416.229,0.777727
7.930,415.286,0.808041
7.940,414.986,0.772818
7.950,416.987,0.827601
7.960,419.916,0.824016
7.970,418.533,0.825297
7.980,418.468,0.697918
7.990,418.483,0.560977
8.000,419.978,0.525842
8.010,420.017,0.705706
8.020,419.623,0.711882
8.030,419.632,0.753661
8.040,420.853,0.781185
8.050,420.796,0.769742
8.060,420.267,0.733707
8.070,419.754,0.703923
8.080,419.877,0.731243
8.090,420.040,0.611559
8.100,419.301,0.609297
8.110,418.883,0.685791
8.120,419.471,0.651174
8.130,418.560,0.722999
8.140,418.840,0.659767
8.150,418.260,0.757411
8.160,419.092,0.702470
8.170,418.840,0.799161
8.180,418.892,0.816376
8.190,419.197,0.741606
8.200,418.560,0.804891
8.210,417.924,0.770452
8.220,416.595,0.695765
8.230,415.952,0.701037
8.240,414.755,0.685027
8.250,416.395,0.672622
8.260,416.430,0.617904
8.270,418.720,0.690329
8.280,418.534,0.759371
8.290,419.237,0.490705
8.300,420.166,0.581340
8.310,421.338,0.536250
8.320,421.189,0.592942
8.330,420.117,0.558347
8.340,420.057,0.344475
8.350,421.220,0.620026
8.360,420.907,0.627163
8.370,420.581,0.582057
8.380,420.059,0.660285
8.390,419.874,0.690468
8.400,420.558,0.744572
8.410,417.486,0.625116
8.420,418.483,0.416882
8.430,419.041,0.453213
8.440,419.013,0.526857
8.450,420.152,0.298211
8.460,419.938,0.357031
8.470,420.698,0.728647
8.480,420.235,0.741299
8.490,419.795,0.706590
8.500,418.869,0.797782
8.510,420.522,0.688128
8.520,420.211,0.828214
8.530,422.444,0.618977
8.540,422.477,0.616831
8.550,386.948,0.699567
8.560,343.299,0.458247
8.570,308.511,0.581643
8.580,271.397,0.641815
8.590,237.497,0.434016
8.600,209.606,0.470886
8.610,192.301,0.449220
8.620,187.675,0.513696
8.630,185.628,0.671688
8.640,184.955,0.721789
8.650,185.217,0.669474
8.660,186.585,0.550552
8.670,186.756,0.521056
8.680,186.546,0.563567
8.690,178.752,0.581417
8.700,162.254,0.640330
8.710,148.338,0.666187
8.720,139.186,0.690959
8.730,138.536,0.778336
8.740,138.412,0.703093
8.750,138.640,0.401793
8.760,136.942,0.494762
8.770,135.480,0.527987
8.780,128.372,0.250903
8.790,122.143,0.374957
8.800,119.420,0.329376
8.810,118.405,0.226151
8.820,116.924,0.370753
8.830,117.213,0.228690
8.840,116.709,0.081118
8.850,116.636,0.341541
8.860,117.941,0.189925
8.870,129.070,0.372474
8.880,136.627,0.219965
8.890,139.749,0.116451
8.900,138.153,0.463359
8.910,138.859,0.572220
8.920,137.880,0.623829
8.930,137.428,0.255310
8.940,138.132,0.164505
8.950,138.922,0.359813
8.960,140.361,0.413577
8.970,159.944,0.580510
8.980,181.444,0.439761
8.990,210.316,0.409207
9.000,234.274,0.678116
9.010,233.408,0.550497
9.020,231.766,0.573913
9.030,231.602,0.719293
9.040,229.973,0.607808
9.050,231.509,0.484149
9.060,205.532,0.187037
9.070,188.414,0.268748
9.080,186.486,0.149553
9.090,185.600,0.382854
9.100,184.544,0.630877
9.110,182.531,0.774035
9.120,185.695,0.739442
9.130,186.500,0.439805
9.140,185.935,0.463403
9.150,186.403,0.367375
9.160,187.401,0.182330
9.170,188.102,0.189520
9.180,186.519,0.233563
9.190,186.856,0.129495
9.200,184.994,0.200767
9.210,183.414,0.137135
9.220,179.255,0.180610
9.230,175.401,0.219356
9.240,166.110,0.387745
9.250,156.947,0.336330
9.260,150.750,0.228602
9.270,140.564,0.222544
9.280,137.558,0.267888
9.290,124.830,0.140978
9.300,114.474,0.329531
9.310,114.537,0.530936
9.320,115.418,0.577896
9.330,116.566,0.668056
9.340,116.125,0.584691
9.350,116.010,0.432847
9.360,115.843,0.453903
9.370,115.354,0.228226
9.380,114.402,0.097436
9.390,115.752,0.228594
9.400,117.247,0.673846
9.410,120.872,0.638186
9.420,125.217,0.351310
9.430,129.581,0.157559
9.440,132.747,0.302209
9.450,135.580,0.358630
9.460,139.829,0.240605
9.470,141.115,0.306741
9.480,140.502,0.523561
9.490,139.093,0.583252
9.500,137.033,0.464990
9.510,136.578,0.286154
9.520,128.135,0.204962
9.530,118.184,0.279329
9.540,117.660,0.384226
9.550,117.050,0.540366
9.560,115.565,0.675665
9.570,115.279,0.609888
9.580,116.968,0.471745
9.590,117.407,0.322499
9.600,115.183,0.090106
9.610,113.385,0.128813
9.620,113.193,0.117681
9.630,114.551,0.202047
9.640,114.592,0.331212
9.650,114.429,0.325992
9.660,123.657,0.262561
9.670,137.819,0.293372
9.680,145.907,0.328969
9.690,163.951,0.455996
9.700,173.082,0.107262
9.710,185.937,0.146871
9.720,203.841,0.506005
9.730,195.644,0.383962
9.740,191.460,0.359768
9.750,186.736,0.416796
9.760,183.611,0.337205
9.770,180.666,0.370044
9.780,169.150,0.174822
9.790,148.756,0.226367
9.800,137.373,0.264931
9.810,127.464,0.244707
9.820,116.703,0.178350
9.830,115.903,0.379504
9.840,114.593,0.223686
9.850,114.769,0.221937
9.860,116.203,0.175263
9.870,115.848,0.336091
9.880,115.300,0.402353
